Force;Country;HOMICIDE;Attempted murder;Intentional destruction of viable unborn child;Causing death by dangerous driving;Causing death by careless driving when under the influence of drink or drugs;Causing death by careless or inconsiderate driving;Assault with intent to cause serious harm;Endangering life;Causing death by aggravated vehicle taking;Causing or allowing death of child or vulnerable person;Causing death by driving: unlicensed or disqualified or uninsured drivers;Assault with injury;Racially or religiously aggravated assault with injury;Violence with injury;Conspiracy to murder;Threats to kill;Harassment;Racially or religiously aggravated harassment;Stalking;Cruelty to children/              young persons;Trafficking in controlled drugs;Other drug offences;Possession of controlled drugs (excluding cannabis);Possession of cannabis
Avon and Somerset;England;10;20;0;3;0;4;469;6;1;0;0;8716;74;9293;0;190;1188;23;193;333;475;178;627;2860
Bedfordshire;England;4;10;0;2;0;1;144;2;0;1;0;4171;37;4368;0;112;1335;49;85;27;181;1;206;874
British Transport Police;National;1;3;0;0;0;1;90;154;0;0;0;1905;47;2200;0;14;82;1;7;9;78;7;422;1760
Cambridgeshire;England;7;13;0;10;1;2;340;1;0;0;0;3660;36;4063;1;187;542;19;35;55;394;12;500;1312
Cheshire;England;3;6;0;1;0;0;176;10;0;0;0;5072;24;5289;0;110;699;10;26;54;524;2;715;1547
Cleveland;England;7;6;0;5;0;1;105;2;0;0;0;4017;14;4150;0;72;553;12;16;118;276;5;445;985
Cumbria;England;7;3;0;7;0;1;78;3;0;0;0;2964;8;3064;0;46;706;12;13;140;235;4;380;771
Derbyshire;England;4;6;0;16;0;8;312;9;0;0;0;5693;43;6087;1;120;913;12;25;61;505;3;602;1564
Devon and Cornwall;England;12;16;0;17;0;5;665;44;0;0;0;10091;61;10899;1;74;1704;9;79;91;747;13;838;2482
Dorset;England;5;6;0;4;0;3;132;2;0;0;0;3874;26;4047;1;77;744;8;98;29;235;3;325;1069
Durham;Wales;2;5;1;1;0;3;110;0;0;0;0;3553;17;3690;0;87;390;18;9;121;311;5;425;688
Dyfed-Powys;Wales;3;0;0;5;0;2;104;13;0;0;0;2321;8;2453;0;101;230;2;3;108;283;5;494;1986
Essex;England;11;15;0;14;1;6;591;6;1;0;1;9637;64;10336;1;572;2405;16;81;67;681;16;592;2416
