Hygienerating;Geschmacksrating;Inspektor;PLZ
 98; 46;4;14195
 92;115;1;12437
148; 53;4;13353
157; 69;4;14169
153;110;4;12203
 50; 74;4;10967
 43; 66;4;12526
100; 47;4;12629
119; 69;4;10965
170; 98;2;12587
148; 99;4;10625
 61; 45;4;15566
 43; 94;3;12105
181; 84;3;10719
 89;133;3;13505
 87; 31;3;10318
165; 38;3;12109
 50; 81;4;10585
136; 50;3;12161
147; 31;3;12357
 86; 73;4;10967
160; 95;4;13589
122; 27;3;13503
 52;125;4;13591
 74; 70;4;12621
 61; 68;3;13507
169;110;4;13405
 59;110;4;14195
153; 93;4;10827
176;120;2;12163
163; 84;4;12459
 69;121;4;10625
 84;107;4;10437
 57;109;4;12167
 38;145;1;13595
132; 51;3;13587
150; 37;2;12057
 58; 99;2;13435
 56;143;3;12161
 52; 64;3;12043
145; 76;4;12107
142; 54;3;12169
166; 54;1;10623
100; 52;4;12103
153; 74;3;12347
 79;116;4;10249
 77; 68;3;10119
129; 49;4;12439
156; 60;4;12524
157; 45;3;12161
174; 75;2;13585
 88; 92;4;13437
117;104;2;13349
 79; 32;4;13591
 57;151;2;13593
 90; 52;4;13629
129; 48;4;10779
 64;131;3;10625
 89; 46;4;12053
 88; 55;4;12589
149; 49;3;13509
168; 71;2;13053
126; 49;3;12351
 87; 32;3;14165
169; 39;3;15569
 89; 67;3;12167
159; 81;4;10319
103; 60;4;12685
 92; 50;3;14050
145; 32;2;12351
 45;126;3;10787
 88;102;4;14197
166; 55;2;12629
 74; 41;3;12305
119; 29;3;10559
112; 29;3;12353
183; 92;1;14193
 60;148;3;12103
 57; 99;4;14059
 96; 39;3;12103
155; 65;4;10997
144; 96;3;13355
 69; 56;3;12169
126; 76;4;10318
107; 35;3;12053
 54; 67;3;12305
110; 99;4;13125
123; 68;4;15569
 72;127;4;12589
 47;106;4;12105
153; 45;3;12105
 85;121;4;12167
116; 68;3;12353
117; 55;4;10629
 94; 25;4;12627
140; 38;3;12055
117; 66;4;13353
122; 62;3;12247
105; 56;4;12627
166; 88;4;12057
 75; 59;3;12489
 33; 99;4;13359
 86;113;4;13599
 88;116;4;13055
111; 91;4;13593
 94; 94;4;10625
116; 43;3;10777
 57;108;2;13439
170; 34;4;12101
 85;117;4;12055
137; 44;3;12059
179; 83;3;10629
 93; 47;2;13353
130; 48;4;12524
 95; 68;4;12555
161; 47;1;10249
 88; 96;4;10559
148; 93;4;13583
100; 27;3;13405
 70; 45;3;12105
120; 44;3;10997
149; 47;4;14163
115; 27;3;13403
 86; 98;4;10369
 63;125;4;12309
 90;109;2;12489
172; 92;4;14059
142; 39;4;13595
164; 52;1;13357
154; 60;4;14129
110; 56;4;12489
156; 81;4;12205
 42;115;4;13593
167; 88;4;14059
 49;150;3;10439
121; 58;3;10623
153; 43;2;12279
 30;106;4;14052
125; 88;4;12681
 93;107;4;12351
 63;122;3;14199
157; 27;4;13589
 49;116;4;13351
131; 63;3;10409
164;107;4;14052
126; 42;3;12279
 91;106;4;12487
160; 55;4;12055
147;101;4;10559
 43;117;4;13465
101; 42;3;13156
 41;118;4;12167
 67; 41;3;12101
 65;102;3;10315
 83; 32;4;12355
 90; 53;4;13086
141; 52;4;10779
 45;132;1;12357
 28;118;4;12623
150;115;1;10823
 99; 53;4;10789
 77; 63;3;13403
142; 65;3;13405
184;101;2;12623
120; 64;4;13505
121; 71;4;13509
 60; 66;3;10781
164; 46;3;10117
155; 85;4;12459
130; 58;2;13627
115;104;4;12205
 40;101;3;12045
 89; 48;4;12679
 59;111;4;12209
154; 59;4;13437
167; 33;4;10317
 49;135;2;12355
124; 54;3;10707
152; 77;4;10117
 43; 99;3;14055
 38;122;2;14053
 19; 82;4;13627
 29; 85;4;12353
128; 52;4;14055
129; 52;4;13158
 58; 59;3;10587
 37;103;4;12309
126; 60;4;12683
135; 59;2;12681
161;121;4;14089
174; 83;1;10965
118; 41;4;10781
138; 30;4;12489
 98; 32;3;12623
 50; 53;1;10711
 39;114;4;13053
 94;108;1;13158
168; 69;2;13469
 91;129;2;10437
170; 95;4;12689
159; 90;3;10315
 92;100;4;13409
 76; 31;4;10707
 91; 38;3;13439
107; 51;4;15537
 93; 41;3;10115
 36;103;4;13053
 78; 55;3;14197
140; 57;4;10405
 88; 59;3;12439
 88;106;4;12051
161;100;4;10367
145; 50;3;13359
178; 78;4;14199
 86;120;4;12309
 87;120;4;13593
 65;101;4;13059
158; 25;4;13595
168; 37;4;14109
 55;114;4;10961
 91;105;4;10789
 84;125;4;12047
 40;122;4;12559
107; 25;4;13053
125; 36;2;12681
103; 26;4;12055
 87; 42;4;12357
117;122;4;10715
 96; 68;4;13057
 73; 60;3;12557
 97; 31;2;10245
159; 48;4;10967
 85;113;4;12101
167; 41;3;10623
 66; 64;4;10823
148; 63;3;12309
145; 62;4;12307
178; 89;3;13591
116; 64;3;12101
129; 45;4;13359
 95; 40;4;13189
103;119;3;12559
148; 94;4;13507
154;119;2;10369
168; 25;4;10715
154; 64;4;12099
156; 32;4;10437
 79; 42;3;13407
 73; 58;3;13051
131; 78;4;12043
167;114;4;13469
 61;124;3;13355
 56; 70;3;14167
161; 28;2;12683
100;115;3;12435
 62;123;3;15537
 91; 58;4;13589
 96; 26;3;12689
156; 96;4;12679
147; 37;3;10829
153; 31;4;12105
 20; 92;3;12353
114; 50;3;12355
 91; 40;3;13467
130; 50;4;13599
108; 42;3;13351
110; 50;4;10789
116;113;4;14195
 60; 86;4;13125
112; 28;3;13357
 57;111;4;12105
 80; 30;4;13057
 54; 54;3;10829
150; 69;4;10785
152; 56;3;10439
 78; 56;3;12305
 83; 35;2;12051
 38;116;4;10437
 69; 41;3;13127
 87; 62;4;10407
150; 71;3;10997
185; 90;2;13439
151; 73;3;10707
113; 62;4;12053
 75; 32;4;12161
171; 38;4;13583
 52;108;4;13503
157; 70;4;12435
177;107;4;10967
116; 30;2;10707
 39; 96;2;12043
 55;133;4;14089
 56;116;4;10825
182; 99;3;10437
181;114;2;13595
154; 77;4;10623
181; 86;1;12105
132; 43;3;10367
 84; 41;4;14163
 86;108;4;12161
 44; 62;3;13589
 91; 32;3;12623
 60;104;3;13597
 72; 68;4;13597
136; 32;3;12159
 52; 73;3;10967
143; 35;4;12439
 56; 55;3;10247
151; 86;3;10625
 87; 35;4;13585
 55;121;4;12203
 96; 34;2;12307
122;112;4;10117
 60;130;2;10783
 54;126;4;13156
 95; 27;3;12247
133; 63;4;13055
 96; 40;4;13357
 75;115;3;13359
 76; 61;4;12627
 69; 63;3;10999
 51;110;3;12351
 42; 95;3;13439
110; 33;4;12055
 77;113;3;13585
108; 34;4;10711
 62;111;3;10785
 97; 38;4;10551
168;114;4;10178
175; 41;1;12589
 82; 63;4;12683
155; 58;4;10247
186; 92;1;13505
100; 59;3;12043
168; 67;1;13158
109;125;1;13469
137; 77;4;10625
 70;112;4;13086
 69;138;1;13409
143; 67;4;13053
172; 29;2;13059
107; 31;3;12351
 53; 59;2;13355
130; 53;3;13088
 84;102;4;13585
 57; 98;4;10587
106; 56;4;12353
 58;139;1;13593
 61;127;3;10709
162; 28;2;14163
 94; 61;4;12043
 80; 42;3;12055
153; 55;3;13129
146; 53;3;12555
 77; 45;3;14197
151; 59;4;13357
130; 35;3;13059
 55; 53;3;12685
 98; 53;4;12161
 58; 75;4;13351
 82; 54;3;14165
 84; 55;3;13583
 32; 81;3;12159
133; 53;3;12165
174; 84;2;13357
107; 32;3;13469
 71;116;4;13089
 87;124;4;13585
136; 33;3;14129
117; 59;3;12103
 74; 76;4;13055
 47; 95;4;14197
 46;135;2;10249
