Kategorie: Alle Kategorien

Monat,R: (Weltweit),SPSS: (Weltweit),Stata: (Weltweit)
2004-01,42,42,7
2004-02,46,45,8
2004-03,45,47,8
2004-04,51,46,9
2004-05,47,46,8
2004-06,46,45,7
2004-07,45,37,8
2004-08,43,36,8
2004-09,46,41,8
2004-10,51,44,9
2004-11,51,46,9
2004-12,48,43,7
2005-01,50,40,8
2005-02,55,42,9
2005-03,50,44,9
2005-04,54,45,10
2005-05,52,44,9
2005-06,54,39,8
2005-07,52,34,8
2005-08,51,33,9
2005-09,53,38,8
2005-10,57,40,8
2005-11,57,42,8
2005-12,54,37,8
2006-01,56,35,8
2006-02,58,37,9
2006-03,58,38,9
2006-04,58,41,10
2006-05,58,37,8
2006-06,61,34,7
2006-07,61,28,7
2006-08,61,27,7
2006-09,67,32,7
2006-10,71,34,8
2006-11,70,36,8
2006-12,68,30,7
2007-01,66,31,7
2007-02,71,31,8
2007-03,68,34,9
2007-04,69,36,9
2007-05,69,34,8
2007-06,69,31,8
2007-07,65,27,8
2007-08,63,27,8
2007-09,67,30,8
2007-10,69,33,9
2007-11,69,34,9
2007-12,65,28,8
2008-01,61,30,7
2008-02,64,30,9
2008-03,63,32,9
2008-04,63,35,10
2008-05,62,33,8
2008-06,60,29,8
2008-07,59,25,8
2008-08,58,25,7
2008-09,61,28,8
2008-10,61,30,8
2008-11,62,32,8
2008-12,60,27,7
2009-01,60,29,7
2009-02,61,31,9
2009-03,58,34,9
2009-04,58,35,10
2009-05,54,32,8
2009-06,53,29,8
2009-07,50,27,8
2009-08,49,26,8
2009-09,53,29,8
2009-10,55,31,9
2009-11,55,34,9
2009-12,51,29,8
2010-01,52,30,7
2010-02,55,30,9
2010-03,56,35,10
2010-04,57,34,10
2010-05,56,34,9
2010-06,54,30,8
2010-07,55,25,7
2010-08,55,24,8
2010-09,60,27,8
2010-10,63,29,9
2010-11,63,30,9
2010-12,62,27,7
2011-01,64,27,7
2011-02,66,27,9
2011-03,66,30,9
2011-04,70,31,10
2011-05,69,32,9
2011-06,68,28,8
2011-07,68,23,7
2011-08,68,22,7
2011-09,74,26,8
2011-10,77,28,9
2011-11,79,31,9
2011-12,74,26,7
2012-01,76,25,7
2012-02,80,27,10
2012-03,80,30,9
2012-04,81,30,10
2012-05,81,30,9
2012-06,81,26,8
2012-07,78,23,8
2012-08,77,21,8
2012-09,81,24,8
2012-10,90,26,9
2012-11,80,27,9
2012-12,77,24,7
2013-01,79,24,8
2013-02,82,25,10
2013-03,82,27,9
2013-04,83,29,11
2013-05,81,28,9
2013-06,79,25,8
2013-07,76,21,8
2013-08,75,19,8
2013-09,79,22,9
2013-10,83,24,10
2013-11,82,26,10
2013-12,78,24,8
2014-01,79,23,8
2014-02,82,24,10
2014-03,84,26,10
2014-04,87,28,11
2014-05,85,28,10
2014-06,82,24,8
2014-07,82,20,9
2014-08,81,19,8
2014-09,82,22,9
2014-10,86,24,10
2014-11,85,27,10
2014-12,80,23,8
2015-01,83,22,8
2015-02,89,23,10
2015-03,86,26,11
2015-04,89,29,11
2015-05,83,28,10
2015-06,84,24,9
2015-07,82,18,9
2015-08,80,18,8
2015-09,84,20,9
2015-10,86,23,10
2015-11,86,26,11
2015-12,81,23,8
2016-01,82,21,9
2016-02,91,22,11
2016-03,92,24,11
2016-04,91,27,12
2016-05,89,27,11
2016-06,87,23,10
2016-07,82,16,8
2016-08,81,17,8
2016-09,87,19,10
2016-10,92,21,11
2016-11,95,25,12
2016-12,86,22,9
2017-01,85,20,9
2017-02,95,21,11
2017-03,98,24,12
2017-04,96,25,13
2017-05,92,25,11
2017-06,87,19,9
2017-07,84,17,8
2017-08,81,16,8
2017-09,86,17,10
2017-10,93,20,10
2017-11,95,23,11
2017-12,88,19,9
2018-01,89,18,9
2018-02,98,18,10
2018-03,96,20,10
2018-04,100,23,11
2018-05,99,22,10
2018-06,90,17,8
2018-07,88,16,8
2018-08,87,14,8
2018-09,90,16,9
2018-10,93,18,10
2018-11,90,19,10
2018-12,81,17,8
2019-01,82,16,8
2019-02,89,17,9
2019-03,89,18,9
2019-04,92,19,10
2019-05,85,19,9
2019-06,82,17,8
2019-07,79,15,8
2019-08,77,13,8
2019-09,86,15,9
2019-10,88,17,9
2019-11,83,18,9
2019-12,74,16,7
2020-01,74,15,7
2020-02,85,16,9
