Kategorie: Alle Kategorien

Monat,R: (Deutschland),SPSS: (Deutschland),Stata: (Deutschland)
2004-01,36,37,5
2004-02,31,31,4
2004-03,39,28,3
2004-04,43,32,3
2004-05,39,34,2
2004-06,32,34,3
2004-07,32,28,5
2004-08,41,27,5
2004-09,36,30,2
2004-10,39,32,4
2004-11,48,36,6
2004-12,39,30,5
2005-01,37,31,3
2005-02,45,32,6
2005-03,39,30,4
2005-04,45,36,6
2005-05,47,37,7
2005-06,43,36,3
2005-07,48,28,5
2005-08,39,26,7
2005-09,49,26,4
2005-10,44,29,5
2005-11,53,33,5
2005-12,47,26,3
2006-01,46,34,5
2006-02,46,30,5
2006-03,44,29,4
2006-04,51,28,5
2006-05,53,29,5
2006-06,59,29,4
2006-07,67,30,6
2006-08,63,22,5
2006-09,66,24,6
2006-10,68,29,2
2006-11,65,32,6
2006-12,66,27,4
2007-01,61,26,4
2007-02,65,26,4
2007-03,59,25,5
2007-04,66,27,4
2007-05,60,30,6
2007-06,59,32,6
2007-07,57,33,5
2007-08,62,29,5
2007-09,60,26,6
2007-10,67,32,7
2007-11,63,32,7
2007-12,61,24,5
2008-01,59,30,6
2008-02,60,28,7
2008-03,56,28,6
2008-04,56,29,6
2008-05,61,29,7
2008-06,59,31,8
2008-07,56,35,7
2008-08,57,25,6
2008-09,50,23,6
2008-10,57,25,7
2008-11,57,28,8
2008-12,52,25,7
2009-01,51,27,6
2009-02,56,28,6
2009-03,54,27,6
2009-04,55,28,7
2009-05,53,29,9
2009-06,52,33,8
2009-07,51,32,9
2009-08,48,27,8
2009-09,47,28,8
2009-10,54,29,7
2009-11,54,30,7
2009-12,51,26,7
2010-01,46,32,7
2010-02,49,30,7
2010-03,49,30,9
2010-04,55,31,9
2010-05,54,33,9
2010-06,55,36,10
2010-07,51,33,10
2010-08,52,28,8
2010-09,52,27,9
2010-10,54,27,8
2010-11,57,29,10
2010-12,58,27,8
2011-01,57,30,9
2011-02,57,30,8
2011-03,60,29,9
2011-04,65,29,9
2011-05,71,33,9
2011-06,72,34,10
2011-07,67,35,9
2011-08,68,27,9
2011-09,68,27,6
2011-10,73,27,9
2011-11,80,30,10
2011-12,73,25,8
2012-01,76,34,9
2012-02,74,29,9
2012-03,76,27,11
2012-04,82,27,9
2012-05,80,30,10
2012-06,80,34,11
2012-07,79,35,11
2012-08,71,30,10
2012-09,69,25,9
2012-10,77,25,10
2012-11,79,28,11
2012-12,72,23,9
2013-01,74,30,10
2013-02,77,28,10
2013-03,73,26,10
2013-04,80,28,10
2013-05,78,29,12
2013-06,80,33,12
2013-07,81,35,12
2013-08,70,27,11
2013-09,70,24,10
2013-10,80,25,10
2013-11,83,27,12
2013-12,73,25,9
2014-01,80,29,11
2014-02,79,29,11
2014-03,73,28,11
2014-04,84,28,12
2014-05,87,31,14
2014-06,83,32,13
2014-07,81,32,14
2014-08,78,28,9
2014-09,73,25,11
2014-10,86,24,11
2014-11,85,28,13
2014-12,76,24,10
2015-01,80,31,12
2015-02,85,30,15
2015-03,84,27,12
2015-04,86,26,13
2015-05,86,28,14
2015-06,89,35,16
2015-07,90,33,13
2015-08,79,28,12
2015-09,79,24,12
2015-10,85,25,12
2015-11,92,27,15
2015-12,80,25,11
2016-01,85,32,14
2016-02,90,30,16
2016-03,89,27,15
2016-04,95,27,15
2016-05,95,30,18
2016-06,98,35,16
2016-07,89,31,15
2016-08,86,29,13
2016-09,82,23,13
2016-10,87,22,13
2016-11,100,26,17
2016-12,87,24,14
2017-01,89,31,15
2017-02,90,28,15
2017-03,95,26,16
2017-04,87,22,15
2017-05,97,26,16
2017-06,93,29,15
2017-07,88,30,15
2017-08,81,24,14
2017-09,75,21,13
2017-10,84,21,12
2017-11,96,24,14
2017-12,79,20,11
2018-01,87,30,12
2018-02,84,22,13
2018-03,76,22,12
2018-04,82,21,12
2018-05,86,23,13
2018-06,83,26,11
2018-07,81,26,13
2018-08,77,22,11
2018-09,71,17,10
2018-10,80,19,10
2018-11,85,22,13
2018-12,69,19,9
2019-01,80,26,10
2019-02,80,22,11
2019-03,72,19,11
2019-04,76,19,10
2019-05,77,22,11
2019-06,78,23,13
2019-07,83,23,12
2019-08,74,18,11
2019-09,69,17,10
2019-10,77,18,10
2019-11,83,18,11
2019-12,66,16,8
2020-01,74,23,10
2020-02,76,17,9
